"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","Female","ball","9","F_greet.wav","NA","NA","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","Female","ball","9","M_romp.wav","None","721.692894671","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","NA","NA","NA","NA","NA","NA","NA","106527.751387","Mapping"
"Mixed","Female","ball","9","F_ball.wav","None","730.152320139","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","NA","NA","NA","NA","NA","NA","107287.164653","Mapping"
"Mixed","Female","ball","9","F_gnash.wav","space","437.058797723","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","NA","NA","NA","NA","NA","108053.602602","Mapping"
"Mixed","Female","ball","9","F_lash.wav","space","451.811261726","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","NA","NA","NA","NA","108819.871086","Mapping"
"Mixed","Female","ball","9","M_park.wav","None","733.613431239","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","110351.533688","NA","NA","NA","109587.60376","Mapping"
"Mixed","Female","ball","9","M_gnash.wav","None","737.188420377","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","110351.533688","111118.719807","NA","NA","110354.76494","Mapping"
"Mixed","Female","ball","9","M_jaw.wav","None","738.07660897","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","110351.533688","111118.719807","111885.922151","NA","111121.769274","Mapping"
"Mixed","Female","ball","9","F_ball.wav","None","738.987332797","432","106516.52824","NA","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","110351.533688","111118.719807","111885.922151","112653.138617","111888.858041","Mapping"
"Mixed","Female","ball","9","M_priest.wav","space","384.966656871","432","106516.52824","113420.389036","NA","NA","NA","NA","NA","NA","107283.055128","108050.238843","108817.027741","109584.644133","110351.533688","111118.719807","111885.922151","112653.138617","112655.694112","Mapping"
