"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Blocked","Male","cave","9","M_tile.wav","NA","NA","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Blocked","Male","cave","9","M_cave.wav","None","716.772629356","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","NA","NA","NA","NA","NA","NA","NA","526016.253039"
"Blocked","Male","cave","9","M_lash.wav","space","634.37370921","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","NA","NA","NA","NA","NA","NA","526760.842264"
"Blocked","Male","cave","9","M_park.wav","None","734.81761475","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","NA","NA","NA","NA","NA","527527.715188"
"Blocked","Male","cave","9","M_done.wav","None","733.469017519","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","NA","NA","NA","NA","528294.203814"
"Blocked","Male","cave","9","M_jaw.wav","None","731.556804327","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","NA","NA","NA","529060.928646"
"Blocked","Male","cave","9","M_cad.wav","None","730.608890721","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","NA","NA","529827.08306"
"Blocked","Male","cave","9","M_done.wav","None","730.57735544","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","NA","530592.946546"
"Blocked","Male","cave","9","M_cave.wav","None","727.590160008","117","526001.650656","NA","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","531360.98813"
"Blocked","Male","cave","9","M_cling.wav","space","635.92759498","117","526001.650656","532884.677314","NA","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","532127.088749"
"Blocked","Male","cave","9","M_cave.wav","None","725.337551223","117","526001.650656","532884.677314","533651.266729","NA","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","532894.159851"
"Blocked","Male","cave","9","M_depth.wav","space","558.762604836","117","526001.650656","532884.677314","533651.266729","534418.517149","NA","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","533660.248721"
"Blocked","Male","cave","9","M_cave.wav","None","722.004704323","117","526001.650656","532884.677314","533651.266729","534418.517149","535184.602","NA","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","534428.204356"
"Blocked","Male","cave","9","M_greet.wav","space","569.39587048","117","526001.650656","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","NA","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","535193.572861"
"Blocked","Male","cave","9","M_depth.wav","None","718.74451224","117","526001.650656","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","NA","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","535961.642889"
"Blocked","Male","cave","9","M_tile.wav","None","734.82658065","117","526001.650656","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","536710.578728"
"Blocked","Male","tile","16","M_park.wav","None","732.396817781","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","526751.692394","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","537477.933029"
"Blocked","Male","tile","16","M_jaw.wav","None","720.986300075","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","527517.982842","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","540628.23855"
"Blocked","Male","tile","16","M_depth.wav","None","719.923684606","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","528284.696544","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","541395.010685"
"Blocked","Male","tile","16","M_greet.wav","None","722.666017828","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","529051.571941","529817.807976","530584.133052","531351.636681","532117.784294","542159.661299"
"Blocked","Male","tile","16","M_tile.wav","None","718.96525925","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","529817.807976","530584.133052","531351.636681","532117.784294","542928.878964"
"Blocked","Male","tile","16","M_romp.wav","space","469.64574125","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","530584.133052","531351.636681","532117.784294","543677.068467"
"Blocked","Male","tile","16","M_tile.wav","None","734.660556656","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","531351.636681","532117.784294","544443.867809"
"Blocked","Male","tile","16","M_priest.wav","space","528.915693183","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","532117.784294","545209.739642"
"Blocked","Male","tile","16","M_cling.wav","None","731.830728488","117","540618.514243","532884.677314","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","545977.257494"
"Blocked","Male","tile","16","M_tile.wav","None","730.622185016","117","540618.514243","547501.036336","533651.266729","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","546744.021899"
"Blocked","Male","tile","16","M_done.wav","space","404.442517975","117","540618.514243","547501.036336","548267.718502","534418.517149","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","547510.141995"
"Blocked","Male","tile","16","M_romp.wav","None","728.653702987","117","540618.514243","547501.036336","548267.718502","549034.499603","535184.602","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","548277.146316"
"Blocked","Male","tile","16","M_cling.wav","None","727.503283386","117","540618.514243","547501.036336","548267.718502","549034.499603","549801.112515","535951.930021","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","549044.108281"
"Blocked","Male","tile","16","M_dime.wav","None","726.77209758","117","540618.514243","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","536701.435041","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","549810.354518"
"Blocked","Male","tile","16","M_tile.wav","None","726.272170534","117","540618.514243","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","537468.081962","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","550576.702782"
"Blocked","Male","tile","16","M_reek.wav","space","467.458367246","117","540618.514243","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","551343.01951"
"Blocked","Male","ball","5","M_knife.wav","None","722.970240589","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","541385.059756","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","552110.850859"
"Blocked","Male","ball","5","M_bluff.wav","None","721.66678209","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","542150.892325","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","555244.314992"
"Blocked","Male","ball","5","M_done.wav","None","720.746384584","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","542919.217418","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","556010.947691"
"Blocked","Male","ball","5","M_ball.wav","None","721.348955864","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","543667.89881","544434.527181","545200.829996","545967.81082","546734.471345","556776.253126"
"Blocked","Male","ball","5","M_jaw.wav","space","369.85572915","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","544434.527181","545200.829996","545967.81082","546734.471345","557544.452387"
"Blocked","Male","ball","5","M_ball.wav","None","734.999097214","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","545200.829996","545967.81082","546734.471345","558292.833575"
"Blocked","Male","ball","5","M_reek.wav","space","437.751200196","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","545967.81082","546734.471345","559060.483751"
"Blocked","Male","ball","5","M_knife.wav","None","730.993497549","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","546734.471345","559826.724424"
"Blocked","Male","ball","5","M_ball.wav","None","729.400347249","117","555234.626239","547501.036336","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","560593.77141"
"Blocked","Male","ball","5","M_romp.wav","space","329.336905692","117","555234.626239","562117.460593","548267.718502","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","561360.849932"
"Blocked","Male","ball","5","M_bluff.wav","None","727.480404836","117","555234.626239","562117.460593","562884.057738","549034.499603","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","562126.880987"
"Blocked","Male","ball","5","M_depth.wav","None","726.047095173","117","555234.626239","562117.460593","562884.057738","563650.781642","549801.112515","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","562893.714646"
"Blocked","Male","ball","5","M_tile.wav","None","723.992354862","117","555234.626239","562117.460593","562884.057738","563650.781642","564417.223584","550567.574862","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","563661.259705"
"Blocked","Male","ball","5","M_gnash.wav","None","724.5368023","117","555234.626239","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","551333.935183","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","564426.649543"
"Blocked","Male","ball","5","M_ball.wav","None","722.572648636","117","555234.626239","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","552101.225795","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","565194.153791"
"Blocked","Male","ball","5","M_dime.wav","space","370.453972093","117","555234.626239","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","565959.595878"
"Blocked","Male","ball","3","M_gnash.wav","None","719.812692769","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","556001.214418","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","566727.708572"
"Blocked","Male","ball","3","M_jaw.wav","None","722.355920836","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","556767.325548","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","569844.134066"
"Blocked","Male","ball","3","M_park.wav","None","720.779465701","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","557534.242992","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","570611.180434"
"Blocked","Male","ball","3","M_ball.wav","None","720.169165157","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","558283.725133","559050.808293","559817.326599","560584.175099","561350.987735","571377.399155"
"Blocked","Male","ball","3","M_knife.wav","space","345.879018263","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","559050.808293","559817.326599","560584.175099","561350.987735","572143.981151"
"Blocked","Male","ball","3","M_jaw.wav","None","734.860589306","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","559817.326599","560584.175099","561350.987735","572892.971403"
"Blocked","Male","ball","3","M_ball.wav","None","723.063918922","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","560584.175099","561350.987735","573675.503761"
"Blocked","Male","ball","3","M_reek.wav","space","359.007899911","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","561350.987735","574442.770567"
"Blocked","Male","ball","3","M_dime.wav","None","718.523765245","117","569833.992998","562117.460593","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","575210.763302"
"Blocked","Male","ball","3","M_jaw.wav","None","735.516956091","117","569833.992998","576716.78345","562884.057738","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","575959.385334"
"Blocked","Male","ball","3","M_ball.wav","None","734.546473119","117","569833.992998","576716.78345","577483.647408","563650.781642","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","576726.028854"
"Blocked","Male","ball","3","M_priest.wav","space","348.354229078","117","569833.992998","576716.78345","577483.647408","578250.194158","564417.223584","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","577493.310809"
"Blocked","Male","ball","3","M_gnash.wav","None","732.632095751","117","569833.992998","576716.78345","577483.647408","578250.194158","579016.816037","565184.053842","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","578259.208922"
"Blocked","Male","ball","3","M_ball.wav","None","730.917132678","117","569833.992998","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","565950.514334","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","579026.321761"
"Blocked","Male","ball","3","M_cad.wav","space","393.525125575","117","569833.992998","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","580550.417502","566717.650052","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","579792.121558"
"Blocked","Male","ball","3","M_lash.wav","None","727.419498464","117","569833.992998","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","580550.417502","581316.81647","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","580560.090797"
"Blocked","Male","cave","8","M_tile.wav","None","727.014486445","117","584450.486818","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","580550.417502","581316.81647","570601.238162","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","581326.209347"
"Blocked","Male","cave","8","M_jaw.wav","None","721.823221844","117","584450.486818","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","580550.417502","581316.81647","585216.962769","571367.417619","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","584460.054377"
"Blocked","Male","cave","8","M_romp.wav","None","720.912408578","117","584450.486818","576716.78345","577483.647408","578250.194158","579016.816037","579783.134001","580550.417502","581316.81647","585216.962769","585983.748507","572134.149561","572883.432597","573666.647601","574433.526709","575200.658407","575949.90929","585226.457363"
