"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","Female","ball","8","M_cave.wav","NA","NA","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","Female","ball","8","M_cling.wav","None","718.120610341","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","NA","NA","NA","NA","NA","NA","NA","209436.19268","Mapping"
"Mixed","Female","ball","8","M_depth.wav","None","721.030857647","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","NA","NA","NA","NA","NA","NA","210198.34883","Mapping"
"Mixed","Female","ball","8","F_bluff.wav","None","736.501266132","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","NA","NA","NA","NA","NA","210947.97759","Mapping"
"Mixed","Female","ball","8","M_park.wav","None","734.923864482","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","NA","NA","NA","NA","211714.662199","Mapping"
"Mixed","Female","ball","8","M_knife.wav","None","733.881332562","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","NA","NA","NA","212480.940554","Mapping"
"Mixed","Female","ball","8","F_ball.wav","None","732.521588798","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","NA","NA","213247.632893","Mapping"
"Mixed","Female","ball","8","M_reek.wav","space","498.953912524","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","NA","214014.955326","Mapping"
"Mixed","Female","ball","8","F_ball.wav","None","728.641774273","242","209422.383459","NA","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","214781.792357","Mapping"
"Mixed","Female","ball","8","M_depth.wav","space","542.234759545","242","209422.383459","216305.462194","NA","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","215547.64529","Mapping"
"Mixed","Female","ball","8","F_dime.wav","None","725.754405838","242","209422.383459","216305.462194","217072.563877","NA","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","216315.167141","Mapping"
"Mixed","Female","ball","8","F_ball.wav","None","723.952544387","242","209422.383459","216305.462194","217072.563877","217839.331654","NA","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","217081.987477","Mapping"
"Mixed","Female","ball","8","M_priest.wav","space","512.862687232","242","209422.383459","216305.462194","217072.563877","217839.331654","218606.164357","NA","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","217848.97322","Mapping"
"Mixed","Female","ball","8","F_ball.wav","None","720.228553168","242","209422.383459","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","NA","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","218615.866212","Mapping"
"Mixed","Female","ball","8","F_cling.wav","space","451.376485522","242","209422.383459","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","NA","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","219382.43519","Mapping"
"Mixed","Female","ball","8","F_gnash.wav","None","735.57838425","242","209422.383459","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","220130.615783","Mapping"
"Mixed","Female","cave","19","M_lash.wav","None","731.941579957","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","210188.930796","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","220899.36907","Mapping"
"Mixed","Female","cave","19","M_done.wav","None","721.890049987","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","210938.43465","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","224048.868534","Mapping"
"Mixed","Female","cave","19","F_cave.wav","None","720.253596315","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","211705.302599","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","224815.878084","Mapping"
"Mixed","Female","cave","19","F_cad.wav","space","507.033226546","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","212471.643407","213238.293079","214005.535128","214772.179544","215538.5961","225582.680488","Mapping"
"Mixed","Female","cave","19","M_cad.wav","None","735.010433011","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","213238.293079","214005.535128","214772.179544","215538.5961","226331.614227","Mapping"
"Mixed","Female","cave","19","F_cave.wav","None","733.801256632","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","214005.535128","214772.179544","215538.5961","227098.010069","Mapping"
"Mixed","Female","cave","19","F_greet.wav","space","488.945666817","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","214772.179544","215538.5961","227864.664069","Mapping"
"Mixed","Female","cave","19","F_priest.wav","None","729.920823826","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","215538.5961","228632.073999","Mapping"
"Mixed","Female","cave","19","F_cave.wav","None","729.656171519","242","224039.122777","216305.462194","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","229397.576948","Mapping"
"Mixed","Female","cave","19","M_reek.wav","space","525.915361359","242","224039.122777","230922.10103","217072.563877","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","230163.684021","Mapping"
"Mixed","Female","cave","19","M_knife.wav","None","728.818003088","242","224039.122777","230922.10103","231688.545411","217839.331654","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","230931.562657","Mapping"
"Mixed","Female","cave","19","M_lash.wav","None","727.458877722","242","224039.122777","230922.10103","231688.545411","232455.500238","218606.164357","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","231698.078148","Mapping"
"Mixed","Female","cave","19","F_ball.wav","None","725.964334444","242","224039.122777","230922.10103","231688.545411","232455.500238","233221.978628","219372.678612","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","232464.90745","Mapping"
"Mixed","Female","cave","19","F_cave.wav","None","724.758558907","242","224039.122777","230922.10103","231688.545411","232455.500238","233221.978628","233988.542041","220121.881331","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","233231.357397","Mapping"
"Mixed","Female","cave","19","M_greet.wav","space","380.144216935","242","224039.122777","230922.10103","231688.545411","232455.500238","233221.978628","233988.542041","234755.562412","220889.16419","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","233997.368008","Mapping"
"Mixed","Female","cave","19","M_jolt.wav","None","721.123609575","242","224039.122777","230922.10103","231688.545411","232455.500238","233221.978628","233988.542041","234755.562412","235522.644","224806.16479","225572.518274","226322.069741","227088.748476","227855.583653","228622.267952","229388.4146","230154.917415","234765.085874","Mapping"
