"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Blocked","Male","done","23","M_cling.wav","NA","NA","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Blocked","Male","done","23","M_cave.wav","None","719.305242877","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","NA","NA","NA","NA","NA","NA","NA","336012.169291","Mapping"
"Blocked","Male","done","23","M_done.wav","None","722.187955864","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","NA","NA","NA","NA","NA","NA","336775.293998","Mapping"
"Blocked","Male","done","23","M_depth.wav","space","464.246350341","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","NA","NA","NA","NA","NA","337542.350747","Mapping"
"Blocked","Male","done","23","M_ball.wav","None","719.820940401","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","NA","NA","NA","NA","338309.972969","Mapping"
"Blocked","Male","done","23","M_done.wav","space","482.75488941","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","NA","NA","NA","339059.820625","Mapping"
"Blocked","Male","done","23","M_priest.wav","None","734.264186118","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","NA","NA","339827.57239","Mapping"
"Blocked","Male","done","23","M_done.wav","None","733.845568262","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","NA","340594.406226","Mapping"
"Blocked","Male","done","23","M_lash.wav","space","589.224515017","113","335998.485988","NA","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","341361.304678","Mapping"
"Blocked","Male","done","23","M_done.wav","None","732.242824044","113","335998.485988","342886.915036","NA","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","342129.013469","Mapping"
"Blocked","Male","done","23","M_greet.wav","space","502.058616839","113","335998.485988","342886.915036","343654.002083","NA","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","342896.409377","Mapping"
"Blocked","Male","done","23","M_knife.wav","None","731.332624331","113","335998.485988","342886.915036","343654.002083","344421.095004","NA","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","343662.979799","Mapping"
"Blocked","Male","done","23","M_reek.wav","None","730.230428744","113","335998.485988","342886.915036","343654.002083","344421.095004","345188.017572","NA","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","344430.484536","Mapping"
"Blocked","Male","done","23","M_ball.wav","None","733.824853785","113","335998.485988","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","NA","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","345196.930362","Mapping"
"Blocked","Male","done","23","M_jaw.wav","None","732.511803508","113","335998.485988","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","NA","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","345965.007993","Mapping"
"Blocked","Male","done","23","M_romp.wav","None","730.865157209","113","335998.485988","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","346732.988236","Mapping"
"Blocked","Male","cave","11","M_park.wav","None","729.975980241","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","336765.772141","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","347500.258931","Mapping"
"Blocked","Male","cave","11","M_greet.wav","None","723.009423818","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","337533.261729","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","350868.671766","Mapping"
"Blocked","Male","cave","11","M_cave.wav","None","722.166004591","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","338300.202229","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","351635.955446","Mapping"
"Blocked","Male","cave","11","M_lash.wav","space","482.575570233","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","339050.478396","339817.996737","340585.187047","341352.090755","342119.597038","352403.691443","Mapping"
"Blocked","Male","cave","11","M_cave.wav","None","720.285624731","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","339817.996737","340585.187047","341352.090755","342119.597038","353170.430054","Mapping"
"Blocked","Male","cave","11","M_romp.wav","space","613.019264769","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","340585.187047","341352.090755","342119.597038","353921.205533","Mapping"
"Blocked","Male","cave","11","M_priest.wav","None","735.536735505","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","341352.090755","342119.597038","354688.059155","Mapping"
"Blocked","Male","cave","11","M_cling.wav","None","734.210081398","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","356213.187516","342119.597038","355455.88945","Mapping"
"Blocked","Male","cave","11","M_ball.wav","None","734.470712487","113","350859.46279","342886.915036","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","356213.187516","356980.399468","356222.190584","Mapping"
"Blocked","Male","cave","11","M_cave.wav","None","734.089504462","113","350859.46279","357747.747455","343654.002083","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","356213.187516","356980.399468","356989.153035","Mapping"
"Blocked","Male","cave","11","M_knife.wav","space","441.057885066","113","350859.46279","357747.747455","358514.926944","344421.095004","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","356213.187516","356980.399468","357757.116891","Mapping"
"Blocked","Male","cave","11","M_bluff.wav","None","732.398028485","113","350859.46279","357747.747455","358514.926944","359282.192383","345188.017572","345955.632993","346723.01468","347490.213337","351626.873539","352394.439492","353161.36206","353911.804252","354678.79793","355446.274841","356213.187516","356980.399468","358524.057081","Mapping"
