"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Mixed","Both","done","37","M_park.wav","NA","NA","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mixed","Both","done","37","M_reek.wav","None","710.527283954","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","NA","NA","NA","NA","NA","NA","NA","55114.9505494"
"Mixed","Both","done","37","F_park.wav","None","721.977168811","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","NA","NA","NA","NA","NA","NA","55869.1116214"
"Mixed","Both","done","37","F_ball.wav","None","721.333781374","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","NA","NA","NA","NA","NA","56635.2342583"
"Mixed","Both","done","37","F_gnash.wav","None","735.939078149","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","NA","NA","NA","NA","57386.4823093"
"Mixed","Both","done","37","F_priest.wav","None","735.733478679","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","NA","NA","NA","58152.3508066"
"Mixed","Both","done","37","F_done.wav","None","735.236020526","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","NA","NA","58918.5955665"
"Mixed","Both","done","37","M_jaw.wav","space","400.332607562","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","NA","59686.3181697"
"Mixed","Both","done","37","F_done.wav","None","732.485315064","112","55093.6325048","NA","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","60452.7382303"
"Mixed","Both","done","37","F_romp.wav","space","539.963758783","112","55093.6325048","61976.4902333","NA","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","61218.6209495"
"Mixed","Both","done","37","M_done.wav","None","731.255737017","112","55093.6325048","61976.4902333","62743.2380165","NA","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","61985.6129788"
"Mixed","Both","done","37","M_cave.wav","space","437.855606084","112","55093.6325048","61976.4902333","62743.2380165","63509.8791353","NA","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","62752.7357879"
"Mixed","Both","done","37","M_ball.wav","None","728.524509585","112","55093.6325048","61976.4902333","62743.2380165","63509.8791353","64276.6204259","NA","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","63519.5831244"
"Mixed","Both","done","37","F_tile.wav","None","728.114856174","112","55093.6325048","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","NA","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","64285.7703784"
"Mixed","Both","done","37","M_done.wav","None","727.84494888","112","55093.6325048","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","NA","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","65051.860243"
"Mixed","Both","done","37","M_depth.wav","space","499.420147506","112","55093.6325048","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","65819.1036292"
"Mixed","Both","tile","35","M_done.wav","None","725.304480526","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","55860.0599855","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","66586.3114607"
"Mixed","Both","tile","35","F_tile.wav","None","721.839587204","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","56626.7035777","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","69753.161518"
"Mixed","Both","tile","35","M_greet.wav","space","454.920368153","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","57376.8417004","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","70519.4826435"
"Mixed","Both","tile","35","F_bluff.wav","None","720.913616358","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","58142.7748147","58909.3587366","59676.6967295","60443.089583","61209.6212547","71286.516411"
"Mixed","Both","tile","35","M_done.wav","None","718.971396214","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","58909.3587366","59676.6967295","60443.089583","61209.6212547","72054.2056237"
"Mixed","Both","tile","35","M_dime.wav","None","719.000767684","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","59676.6967295","60443.089583","61209.6212547","72820.1068932"
"Mixed","Both","tile","35","M_tile.wav","None","735.505000455","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","60443.089583","61209.6212547","73569.5982275"
"Mixed","Both","tile","35","F_depth.wav","space","502.810839447","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","61209.6212547","74335.4936228"
"Mixed","Both","tile","35","M_cad.wav","None","733.880300308","112","69743.4343409","61976.4902333","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","75102.7509219"
"Mixed","Both","tile","35","F_tile.wav","None","733.610083698","112","69743.4343409","76626.1575795","62743.2380165","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","75869.0602988"
"Mixed","Both","tile","35","F_priest.wav","space","475.21165153","112","69743.4343409","76626.1575795","77393.0791175","63509.8791353","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","76635.0697787"
"Mixed","Both","tile","35","F_depth.wav","None","731.589333853","112","69743.4343409","76626.1575795","77393.0791175","78159.579872","64276.6204259","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","77402.503615"
"Mixed","Both","tile","35","F_cad.wav","None","731.140415883","112","69743.4343409","76626.1575795","77393.0791175","78159.579872","78926.4012382","65043.0024582","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","78169.4461766"
"Mixed","Both","tile","35","M_tile.wav","None","730.739419349","112","69743.4343409","76626.1575795","77393.0791175","78159.579872","78926.4012382","79692.7956374","65809.7344736","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","78935.8328467"
"Mixed","Both","tile","35","F_cave.wav","space","504.337222781","112","69743.4343409","76626.1575795","77393.0791175","78159.579872","78926.4012382","79692.7956374","80459.5780479","66576.6699243","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","79701.8766446"
"Mixed","Both","tile","35","M_cad.wav","None","729.039281257","112","69743.4343409","76626.1575795","77393.0791175","78159.579872","78926.4012382","79692.7956374","80459.5780479","81226.3317053","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","80469.0733459"
"Mixed","Both","cave","15","M_tile.wav","None","729.094004724","112","84359.8678351","76626.1575795","77393.0791175","78159.579872","78926.4012382","79692.7956374","80459.5780479","81226.3317053","70510.2220073","71276.8186053","72043.8854542","72810.0352982","73560.0448052","74326.2162913","75092.9034767","75859.6926889","81235.3344919"
