"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","Male","tile","28","F_cling.wav","NA","NA","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","Male","tile","28","M_tile.wav","None","722.505613696","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","NA","NA","NA","NA","NA","NA","NA","1677439.94326","Mapping"
"Mixed","Male","tile","28","F_jolt.wav","space","571.78924419","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","NA","NA","NA","NA","NA","NA","1678203.65208","Mapping"
"Mixed","Male","tile","28","M_tile.wav","None","727.498451713","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","NA","NA","NA","NA","NA","1678969.77337","Mapping"
"Mixed","Male","tile","28","F_knife.wav","space","429.986028466","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","NA","NA","NA","NA","1679737.45661","Mapping"
"Mixed","Male","tile","28","F_jaw.wav","None","724.437946454","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","NA","NA","NA","1680503.50401","Mapping"
"Mixed","Male","tile","28","M_tile.wav","None","725.227883551","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","NA","NA","1681269.82009","Mapping"
"Mixed","Male","tile","28","F_ball.wav","space","370.328895282","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","NA","1682037.07018","Mapping"
"Mixed","Male","tile","28","M_depth.wav","None","723.171263468","244","1677427.31508","NA","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1682803.48302","Mapping"
"Mixed","Male","tile","28","M_cling.wav","None","724.705380853","244","1677427.31508","1684328.06152","NA","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1683570.11383","Mapping"
"Mixed","Male","tile","28","M_tile.wav","None","723.744470626","244","1677427.31508","1684328.06152","1685095.11806","NA","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1684337.54943","Mapping"
"Mixed","Male","tile","28","F_park.wav","space","422.621832229","244","1677427.31508","1684328.06152","1685095.11806","1685861.23688","NA","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1685104.6981","Mapping"
"Mixed","Male","tile","28","M_priest.wav","None","720.601724926","244","1677427.31508","1684328.06152","1685095.11806","1685861.23688","1686627.60799","NA","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1685871.0621","Mapping"
"Mixed","Male","tile","28","M_depth.wav","None","721.942918375","244","1677427.31508","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","NA","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1686636.9914","Mapping"
"Mixed","Male","tile","28","F_cad.wav","None","722.274970729","244","1677427.31508","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","NA","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1687403.42496","Mapping"
"Mixed","Male","tile","28","F_done.wav","None","728.017244488","244","1677427.31508","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1688165.53628","Mapping"
"Mixed","Male","cave","13","F_jolt.wav","None","725.993705913","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1678194.29186","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1688936.73451","Mapping"
"Mixed","Male","cave","13","F_gnash.wav","None","720.899149776","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1678960.59959","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1692086.90704","Mapping"
"Mixed","Male","cave","13","F_cad.wav","None","726.466740947","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1679727.81133","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1692848.22255","Mapping"
"Mixed","Male","cave","13","M_cave.wav","None","719.024632592","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1680494.35527","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1693621.36888","Mapping"
"Mixed","Male","cave","13","M_depth.wav","space","524.769874755","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1681260.76966","1682027.86331","1682794.22267","1683560.56935","1694386.34932","Mapping"
"Mixed","Male","cave","13","F_priest.wav","None","719.631539658","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1682027.86331","1682794.22267","1683560.56935","1695154.14757","Mapping"
"Mixed","Male","cave","13","M_bluff.wav","None","720.871014986","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1682794.22267","1683560.56935","1695920.29329","Mapping"
"Mixed","Male","cave","13","F_cad.wav","None","721.242022701","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1683560.56935","1696687.66303","Mapping"
"Mixed","Male","cave","13","M_cave.wav","None","736.041835044","244","1692077.6606","1684328.06152","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1697436.37015","Mapping"
"Mixed","Male","cave","13","F_reek.wav","space","299.757948611","244","1692077.6606","1698960.49725","1685095.11806","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1698203.26499","Mapping"
"Mixed","Male","cave","13","M_jolt.wav","None","735.21077726","244","1692077.6606","1698960.49725","1699727.14568","1685861.23688","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1698969.44008","Mapping"
"Mixed","Male","cave","13","M_cave.wav","None","736.182199325","244","1692077.6606","1698960.49725","1699727.14568","1700493.94778","1686627.60799","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1699736.2057","Mapping"
"Mixed","Male","cave","13","F_bluff.wav","space","391.992352437","244","1692077.6606","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1687394.23355","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1700503.06653","Mapping"
"Mixed","Male","cave","13","M_dime.wav","None","733.692118432","244","1692077.6606","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1702027.11944","1688161.3677","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1701269.70044","Mapping"
"Mixed","Male","cave","13","M_cave.wav","None","736.188692041","244","1692077.6606","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1702027.11944","1702794.04273","1688927.4859","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1702036.14297","Mapping"
"Mixed","Male","cave","13","F_bluff.wav","space","587.717538234","244","1692077.6606","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1702027.11944","1702794.04273","1703560.48804","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1702803.2666","Mapping"
"Mixed","Male","cave","18","F_jolt.wav","None","729.838274885","244","1706694.23976","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1702027.11944","1702794.04273","1703560.48804","1692844.4392","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1703569.73788","Mapping"
"Mixed","Male","cave","18","M_cave.wav","None","722.717397846","244","1706694.23976","1698960.49725","1699727.14568","1700493.94778","1701260.56623","1702027.11944","1702794.04273","1703560.48804","1707460.99084","1693610.85946","1694377.32332","1695144.43521","1695910.98471","1696677.74074","1697427.23841","1698194.12089","1706703.24258","Mapping"
