"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Mixed","Male","cave","16","F_greet.wav","NA","NA","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mixed","Male","cave","16","F_depth.wav","None","739.767158474","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","NA","NA","NA","NA","NA","NA","NA","96917.9823908"
"Mixed","Male","cave","16","M_cave.wav","None","738.018509265","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","NA","NA","NA","NA","NA","NA","97682.9708334"
"Mixed","Male","cave","16","F_depth.wav","space","534.970354201","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","NA","NA","NA","NA","NA","98449.4992797"
"Mixed","Male","cave","16","M_gnash.wav","None","731.559553135","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","NA","NA","NA","NA","99215.9540863"
"Mixed","Male","cave","16","F_depth.wav","None","727.435148901","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","100727.417616","NA","NA","NA","99983.388417"
"Mixed","Male","cave","16","M_bluff.wav","None","741.414699291","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","100727.417616","101494.064704","NA","NA","100732.819901"
"Mixed","Male","cave","16","M_cave.wav","None","738.187412881","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","100727.417616","101494.064704","102260.715006","NA","101499.389259"
"Mixed","Male","cave","16","F_romp.wav","space","502.453485756","443","96910.8545413","NA","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","100727.417616","101494.064704","102260.715006","103027.337839","102265.822733"
"Mixed","Male","cave","16","F_knife.wav","None","731.861709433","443","96910.8545413","103794.209645","NA","NA","NA","NA","NA","NA","97677.4624715","98444.1761858","99210.7914216","99977.7193336","100727.417616","101494.064704","102260.715006","103027.337839","103032.399396"
