"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","both","cave","21","M_romp.wav","NA","NA","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","both","cave","21","M_greet.wav","None","717.555441894","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","NA","NA","NA","NA","NA","NA","NA","24096.6565083","Mapping"
"Mixed","both","cave","21","F_depth.wav","None","720.787229482","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","NA","NA","NA","NA","NA","NA","24859.5781703","Mapping"
"Mixed","both","cave","21","F_cad.wav","None","721.751540434","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","NA","NA","NA","NA","NA","25624.7082567","Mapping"
"Mixed","both","cave","21","M_cave.wav","None","721.807810012","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","NA","NA","NA","NA","26392.0365642","Mapping"
"Mixed","both","cave","21","F_romp.wav","space","562.770352699","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","27915.3180793","NA","NA","NA","27159.127736","Mapping"
"Mixed","both","cave","21","F_cave.wav","None","720.481765922","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","27915.3180793","28681.9832101","NA","NA","27925.8036884","Mapping"
"Mixed","both","cave","21","M_jaw.wav","space","493.882235605","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","27915.3180793","28681.9832101","29448.7608802","NA","28691.9840355","Mapping"
"Mixed","both","cave","21","M_priest.wav","None","719.672659878","307","24081.8248517","NA","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","27915.3180793","28681.9832101","29448.7608802","30198.4684798","29458.7431555","Mapping"
"Mixed","both","cave","21","M_depth.wav","None","736.38903629","307","24081.8248517","30964.7762068","NA","NA","NA","NA","NA","NA","24848.9120044","25615.1931421","26381.7868545","27148.750647","27915.3180793","28681.9832101","29448.7608802","30198.4684798","30207.9835944","Mapping"
