"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Mixed","Both","tile","27","F_park.wav","NA","NA","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Mixed","Both","tile","27","M_reek.wav","None","731.199873364","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","NA","NA","NA","NA","NA","NA","NA","1784909.60579","Mapping"
"Mixed","Both","tile","27","F_park.wav","None","741.981361178","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","NA","NA","NA","NA","NA","NA","1785671.83244","Mapping"
"Mixed","Both","tile","27","F_knife.wav","None","734.216476267","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","NA","NA","NA","NA","NA","1786443.46474","Mapping"
"Mixed","Both","tile","27","F_cad.wav","None","728.844901096","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","NA","NA","NA","NA","1787222.29553","Mapping"
"Mixed","Both","tile","27","M_tile.wav","None","736.359355724","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","NA","NA","NA","1787988.42394","Mapping"
"Mixed","Both","tile","27","M_romp.wav","space","400.548720587","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","NA","NA","1788772.80067","Mapping"
"Mixed","Both","tile","27","F_tile.wav","None","734.811634684","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","NA","1789537.95642","Mapping"
"Mixed","Both","tile","27","M_bluff.wav","space","572.579490748","104","1784901.11312","NA","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1790304.74213","Mapping"
"Mixed","Both","tile","27","M_tile.wav","None","731.895203877","104","1784901.11312","1791851.65313","NA","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1791088.29275","Mapping"
"Mixed","Both","tile","27","F_priest.wav","space","383.797098286","104","1784901.11312","1791851.65313","1792617.70858","NA","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1791861.54946","Mapping"
"Mixed","Both","tile","27","F_tile.wav","None","737.078492588","104","1784901.11312","1791851.65313","1792617.70858","1793384.84952","NA","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1792621.20471","Mapping"
"Mixed","Both","tile","27","M_greet.wav","space","291.030607215","104","1784901.11312","1791851.65313","1792617.70858","1793384.84952","1794151.33255","NA","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1793394.26261","Mapping"
"Mixed","Both","tile","27","M_depth.wav","None","740.298840625","104","1784901.11312","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","NA","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1794154.88124","Mapping"
"Mixed","Both","tile","27","M_romp.wav","None","728.868707432","104","1784901.11312","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","NA","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1794939.87138","Mapping"
"Mixed","Both","tile","27","F_reek.wav","None","720.953873519","104","1784901.11312","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1795711.95539","Mapping"
"Mixed","Both","ball","2","F_depth.wav","None","734.353130829","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1785667.79278","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1796471.38556","Mapping"
"Mixed","Both","ball","2","F_dime.wav","None","731.320760082","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1786434.44925","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1799621.71793","Mapping"
"Mixed","Both","ball","2","M_greet.wav","None","737.613671386","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1787218.19651","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1800388.70491","Mapping"
"Mixed","Both","ball","2","M_ball.wav","None","729.509005134","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1787984.51321","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1801160.98556","Mapping"
"Mixed","Both","ball","2","M_bluff.wav","space","513.303568194","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1788768.21223","1789534.24603","1790300.94981","1791084.66677","1801939.81263","Mapping"
"Mixed","Both","ball","2","M_jaw.wav","None","733.573705191","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1789534.24603","1790300.94981","1791084.66677","1802694.10682","Mapping"
"Mixed","Both","ball","2","M_bluff.wav","None","729.06070399","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1790300.94981","1791084.66677","1803472.3913","Mapping"
"Mixed","Both","ball","2","F_ball.wav","None","721.36507387","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1791084.66677","1804244.70224","Mapping"
"Mixed","Both","ball","2","M_romp.wav","space","376.528436362","104","1799618.04094","1791851.65313","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1805004.4929","Mapping"
"Mixed","Both","ball","2","M_ball.wav","None","725.447396806","104","1799618.04094","1806535.04679","1792617.70858","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1805777.24627","Mapping"
"Mixed","Both","ball","2","F_done.wav","space","564.439887923","104","1799618.04094","1806535.04679","1807301.41914","1793384.84952","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1806544.62281","Mapping"
"Mixed","Both","ball","2","F_ball.wav","None","734.511427508","104","1799618.04094","1806535.04679","1807301.41914","1808068.05397","1794151.33255","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1807305.44055","Mapping"
"Mixed","Both","ball","2","F_done.wav","space","295.905959399","104","1799618.04094","1806535.04679","1807301.41914","1808068.05397","1808834.8406","1794935.26068","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1808077.13067","Mapping"
"Mixed","Both","ball","2","F_reek.wav","None","723.337598887","104","1799618.04094","1806535.04679","1807301.41914","1808068.05397","1808834.8406","1809601.31157","1795701.93663","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1808844.03572","Mapping"
"Mixed","Both","ball","2","F_greet.wav","space","138.153116786","104","1799618.04094","1806535.04679","1807301.41914","1808068.05397","1808834.8406","1809601.31157","1810367.88334","1796467.87489","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1809610.88079","Mapping"
"Mixed","Both","ball","2","M_romp.wav","None","733.010082447","104","1799618.04094","1806535.04679","1807301.41914","1808068.05397","1808834.8406","1809601.31157","1810367.88334","1811134.58278","1800384.74348","1801151.40552","1801935.4267","1802684.74227","1803468.41626","1804235.10705","1805001.0382","1805768.01776","1810372.00987","Mapping"
