"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Mixed","both","done","44","M_knife.wav","NA","NA","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mixed","both","done","44","M_done.wav","None","720.854903106","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","NA","NA","NA","NA","NA","NA","NA","335944.482438"
"Mixed","both","done","44","F_cling.wav","space","601.898547728","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","NA","NA","NA","NA","NA","NA","336707.896065"
"Mixed","both","done","44","M_done.wav","None","726.319473237","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","NA","NA","NA","NA","NA","337473.258078"
"Mixed","both","done","44","F_priest.wav","space","492.381755263","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","NA","NA","NA","NA","338241.360878"
"Mixed","both","done","44","F_jaw.wav","None","721.764788497","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","NA","NA","NA","339008.246478"
"Mixed","both","done","44","M_greet.wav","None","721.952763852","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","NA","NA","339774.877322"
"Mixed","both","done","44","F_done.wav","None","722.672201227","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","NA","340541.120776"
"Mixed","both","done","44","F_reek.wav","space","426.525565796","327","335930.979771","NA","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","341307.143485"
"Mixed","both","done","44","M_park.wav","None","722.690442577","327","335930.979771","342831.485015","NA","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","342074.509843"
"Mixed","both","done","44","M_dime.wav","None","722.302434966","327","335930.979771","342831.485015","343598.190988","NA","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","342841.757171"
"Mixed","both","done","44","F_done.wav","None","722.406315617","327","335930.979771","342831.485015","343598.190988","344364.99002","NA","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","343608.142535"
"Mixed","both","done","44","M_dime.wav","space","478.935047053","327","335930.979771","342831.485015","343598.190988","344364.99002","345114.167629","NA","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","344374.644765"
"Mixed","both","done","44","F_jaw.wav","None","734.753307421","327","335930.979771","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","NA","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","345123.018224"
"Mixed","both","done","44","M_reek.wav","None","731.368210632","327","335930.979771","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","NA","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","345890.075104"
"Mixed","both","done","44","F_park.wav","None","730.088249315","327","335930.979771","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","346657.719715"
"Mixed","both","ball","1","M_priest.wav","None","731.580919586","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","336697.967706","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","347423.35998"
"Mixed","both","ball","1","M_lash.wav","None","724.92511943","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","337464.058122","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","350606.760547"
"Mixed","both","ball","1","M_jaw.wav","None","725.510376971","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","338231.805686","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","351372.976486"
"Mixed","both","ball","1","M_romp.wav","None","724.990971852","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","338998.016678","339764.612277","340531.094102","341297.76792","342064.778734","352140.726524"
"Mixed","both","ball","1","F_ball.wav","None","731.227229349","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","339764.612277","340531.094102","341297.76792","342064.778734","352906.205403"
"Mixed","both","ball","1","F_bluff.wav","space","419.603879564","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","340531.094102","341297.76792","342064.778734","353673.681207"
"Mixed","both","ball","1","M_bluff.wav","None","730.797174852","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","341297.76792","342064.778734","354440.543928"
"Mixed","both","ball","1","F_bluff.wav","None","731.494043022","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","342064.778734","355206.981542"
"Mixed","both","ball","1","F_ball.wav","None","728.326601442","327","350597.650869","342831.485015","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","355973.772845"
"Mixed","both","ball","1","F_romp.wav","space","505.038226023","327","350597.650869","357497.703799","343598.190988","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","356740.164392"
"Mixed","both","ball","1","F_reek.wav","None","725.357028656","327","350597.650869","357497.703799","358264.668236","344364.99002","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","357507.000834"
"Mixed","both","ball","1","M_ball.wav","None","721.815801691","327","350597.650869","357497.703799","358264.668236","359031.167066","345114.167629","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","358274.229303"
"Mixed","both","ball","1","M_park.wav","space","484.355715569","327","350597.650869","357497.703799","358264.668236","359031.167066","359797.883241","345881.01582","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","359040.766777"
"Mixed","both","ball","1","F_dime.wav","None","719.050590415","327","350597.650869","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","346647.960471","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","359807.664744"
"Mixed","both","ball","1","M_ball.wav","None","719.351720996","327","350597.650869","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","347414.529791","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","360574.34722"
"Mixed","both","ball","1","F_depth.wav","space","609.839565586","327","350597.650869","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","361323.2305"
"Mixed","both","done","43","F_cad.wav","None","734.772785101","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","351364.067459","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","362089.287835"
"Mixed","both","done","43","F_lash.wav","None","722.405697219","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","352131.416194","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","365224.227014"
"Mixed","both","done","43","M_jaw.wav","None","722.481134348","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","352897.28308","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","365991.083862"
"Mixed","both","done","43","F_park.wav","None","719.599056989","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","353664.395302","354430.954728","355197.743249","355964.362035","356730.890235","366757.674823"
"Mixed","both","done","43","F_done.wav","None","734.185363166","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","354430.954728","355197.743249","355964.362035","356730.890235","367506.733711"
"Mixed","both","done","43","M_cad.wav","space","452.448807657","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","355197.743249","355964.362035","356730.890235","368272.405512"
"Mixed","both","done","43","M_greet.wav","None","731.56978935","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","355964.362035","356730.890235","369039.923982"
"Mixed","both","done","43","M_depth.wav","None","729.584611952","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","356730.890235","369805.806327"
"Mixed","both","done","43","F_knife.wav","None","729.993952438","327","365214.335756","357497.703799","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","371330.481451","370572.223535"
"Mixed","both","done","43","M_done.wav","None","729.298321065","327","365214.335756","372097.539877","358264.668236","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","371330.481451","371339.963679"
"Mixed","both","done","43","F_priest.wav","space","497.290438972","327","365214.335756","372097.539877","372864.135167","359031.167066","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","371330.481451","372107.460198"
"Mixed","both","done","43","F_done.wav","None","722.489481792","327","365214.335756","372097.539877","372864.135167","373630.727365","359797.883241","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","371330.481451","372873.886372"
"Mixed","both","done","43","M_romp.wav","space","492.273855023","327","365214.335756","372097.539877","372864.135167","373630.727365","374380.254026","360564.756474","361314.079392","362080.227314","365980.905693","366748.163843","367497.330322","368263.553372","369030.447628","369796.867","370563.338313","371330.481451","373640.397877"
