"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Mixed","both","cave","15","M_cad.wav","NA","NA","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mixed","both","cave","15","M_greet.wav","None","716.911446769","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","NA","NA","NA","NA","NA","NA","NA","36809.5030654"
"Mixed","both","cave","15","F_cave.wav","None","735.358661506","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","NA","NA","NA","NA","NA","NA","37554.9898096"
"Mixed","both","cave","15","F_greet.wav","space","531.764999032","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","NA","NA","NA","NA","NA","38320.6968554"
"Mixed","both","cave","15","F_depth.wav","None","729.575027712","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","NA","NA","NA","NA","39088.9536222"
"Mixed","both","cave","15","F_cave.wav","None","727.750618942","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","NA","NA","NA","39854.5567868"
"Mixed","both","cave","15","F_greet.wav","space","559.124332853","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","NA","NA","40621.3211925"
"Mixed","both","cave","15","M_cave.wav","None","726.39027331","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","NA","41384.0490812"
"Mixed","both","cave","15","M_jolt.wav","space","552.967222873","308","36795.4074112","NA","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","42155.3891948"
"Mixed","both","cave","15","F_reek.wav","None","733.499934431","308","36795.4074112","43661.4578823","NA","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","42904.918639"
"Mixed","both","cave","15","M_priest.wav","None","732.287062798","308","36795.4074112","43661.4578823","44428.4606576","NA","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","43670.5425181"
"Mixed","both","cave","15","M_cad.wav","None","728.885889053","308","36795.4074112","43661.4578823","44428.4606576","45194.9511389","NA","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","44438.1030351"
"Mixed","both","cave","15","M_cave.wav","None","726.552896667","308","36795.4074112","43661.4578823","44428.4606576","45194.9511389","45962.1576564","NA","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","45204.3672041"
"Mixed","both","cave","15","F_jaw.wav","space","656.964722555","308","36795.4074112","43661.4578823","44428.4606576","45194.9511389","45962.1576564","46728.3621561","NA","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","45971.2701174"
"Mixed","both","cave","15","M_dime.wav","None","720.602929592","308","36795.4074112","43661.4578823","44428.4606576","45194.9511389","45962.1576564","46728.3621561","47478.3355673","NA","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","46738.0886278"
"Mixed","both","cave","15","F_romp.wav","None","734.637987334","308","36795.4074112","43661.4578823","44428.4606576","45194.9511389","45962.1576564","46728.3621561","47478.3355673","48245.3513276","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","47488.1581906"
"Mixed","both","tile","30","M_priest.wav","None","730.975875165","308","51412.0456134","43661.4578823","44428.4606576","45194.9511389","45962.1576564","46728.3621561","47478.3355673","48245.3513276","37545.2621016","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","48255.5613401"
"Mixed","both","tile","30","F_tile.wav","None","721.451600082","308","51412.0456134","43661.4578823","44428.4606576","45194.9511389","45962.1576564","46728.3621561","47478.3355673","48245.3513276","52178.8412449","38311.3621017","39078.325612","39844.9481088","40611.8819392","41378.7743407","42145.6958042","42895.0691177","51421.6511999"
